image_id,frame_id,person_id,split,original_category,lstm_label,label,lean_flag,look_flag,phone_flag,gesture_flag,lean_angle,head_turn_angle,confidence,center_x,center_y,bbox_area,bbox_width,bbox_height,combined_suspicious,lean_magnitude,head_magnitude,spatial_center_offset,image_width,image_height,image_file,sequence_id,frame_in_sequence,sequence_behavior
0,0,person_0000,valid,Normal,normal,normal,0,0,0,0,4.280062155997466,-3.7173067597841447,0.99,0.47109375,0.6296875,0.2522802734375,0.6671875,0.378125,0,0.09511249235549923,0.04130340844204605,0.15859374999999998,640,640,IMG_8575_jpg.rf.028adde7a676c594851c14b4e03d869c.jpg,0,0,normal
1,1,person_0001,valid,Normal,normal,normal,0,0,0,0,-1.8248094939333968,6.066584151761591,0.99,0.528125,0.581640625,0.23356201171875,0.446875,0.52265625,0,0.04055132208740882,0.06740649057512879,0.10976562499999998,640,640,IMG_8661_jpg.rf.0f17669b6de64f00190b2543efa89f0a.jpg,0,1,normal
1,1,person_0001,test,Normal,normal,normal,0,0,0,0,-2.828636157998104,0.7805735676327257,0.99,0.5453125,0.65,0.49130859375,0.73125,0.671875,0,0.06285858128884675,0.008673039640363618,0.1953125,640,640,IMG_8738_jpg.rf.3f080b9455b14ae04b6305df98bcdf0c.jpg,0,2,normal
3,3,person_0003,test,Normal,normal,normal,0,0,0,0,-1.823065927825919,0.9852473661969627,0.99,0.486328125,0.6328125,0.43714599609375,0.67578125,0.646875,0,0.04051257617390931,0.01094719295774403,0.146484375,640,640,IMG_8725_jpg.rf.9dfdfc0f27cdd1d3a2e935657c48feef.jpg,0,3,normal
5,5,person_0005,train,Normal,normal,normal,0,0,0,0,-0.5724419094900721,-7.936894527310882,0.99,0.304296875,0.5984375,0.20327392578125,0.46796875,0.434375,0,0.012720931322001602,0.08818771697012091,0.29414062499999993,640,640,IMG_8710_jpg.rf.01814c56c86705f7bacc2e0e331fc977.jpg,0,4,normal
5,5,person_0005,train,Normal,normal,normal,0,0,0,0,-0.2845202683603148,-5.5254967324988336,0.99,0.7453125,0.590234375,0.19091796875,0.425,0.44921875,0,0.0063226726302292174,0.06139440813887593,0.335546875,640,640,IMG_8710_jpg.rf.01814c56c86705f7bacc2e0e331fc977.jpg,0,5,normal
5,5,person_0005,valid,Normal,normal,normal,0,0,0,0,-1.1034154073697653,-3.399292155496769,0.99,0.4890625,0.5515625,0.2646875,0.48125,0.55,0,0.024520342385994785,0.03776991283885299,0.062499999999999944,640,640,IMG_8563_jpg.rf.22d885379cb6f1784d775cb77f8fbf6e.jpg,0,6,normal
6,6,person_0006,valid,Normal,normal,normal,0,0,0,0,0.16542084903778675,-1.3548247260650992,0.99,0.78046875,0.621875,0.189345703125,0.4390625,0.43125,0,0.0036760188675063724,0.01505360806738999,0.40234375,640,640,IMG_8690_jpg.rf.18c11ed2c4963952600c0689f37fa540.jpg,0,7,normal
6,6,person_0006,train,Normal,normal,normal,0,0,0,0,-0.5069208298632094,-1.6313377247208032,0.99,0.64648828125,0.44251874999999996,0.5317794143554687,0.7054765625,0.7537874999999999,0,0.011264907330293542,0.018125974719120034,0.20396953125000006,640,640,IMG_9219_jpg.rf.0277e1fb1c9b442f531d65792a917283.jpg,0,8,normal
7,7,person_0007,valid,Normal,normal,normal,0,0,0,0,0.5097941059385249,-4.219347795994535,0.99,0.50625,0.558984375,0.22904052734375,0.453125,0.50546875,0,0.011328757909744998,0.04688164217771706,0.06523437499999996,640,640,IMG_8564_jpg.rf.110d0f2f2ca22d6ccaa4f652b7fb10a1.jpg,0,9,normal
