image_id,image_file,width,height,lean_flag,look_flag,phone_flag,lean_angle,head_turn_angle,confidence,person_id,frame_id,label
0,IMG_9192_jpg.rf.3f48287e17e008fe0c154b2ac3e7bb14.jpg,640,640,0,1,0,0.0,20.0,0.8,person_001,0,suspicious
1,IMG_8738_jpg.rf.3f080b9455b14ae04b6305df98bcdf0c.jpg,640,640,0,0,0,0.0,0.0,0.8,person_001,1,normal
2,IMG_9055_jpg.rf.13d2933a43ff8f2499840ceebade59b8.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_001,2,suspicious
3,IMG_8725_jpg.rf.9dfdfc0f27cdd1d3a2e935657c48feef.jpg,640,640,0,0,0,0.0,0.0,0.8,person_001,3,normal
4,IMG_9210_jpg.rf.4569197c605c864400f2c09d738660f1.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_001,4,suspicious
5,IMG_9081_jpg.rf.3de9f31bc8c89b42ed85449422726a20.jpg,640,640,1,0,0,0.0,0.0,0.8,person_001,5,suspicious
6,IMG_9007_jpg.rf.97188a4e0e73bfbf1238dbf59aae108d.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_001,6,suspicious
7,IMG_9054_jpg.rf.b15ee1e6417ccde75f7ed7592f2963bc.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_001,7,suspicious
8,IMG_9036_jpg.rf.b1a4ca3b92e23851a3ae8a2de7195308.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_001,8,suspicious
9,IMG_8583_jpg.rf.49bf796cc77bdae250a8225baccafe91.jpg,640,640,0,0,0,0.0,0.0,0.8,person_001,9,normal
10,IMG_8669_jpg.rf.bb4d88a1db4988f488633a309f36f3fa.jpg,640,640,1,0,0,0.0,0.0,0.8,person_002,0,suspicious
11,IMG_9084_jpg.rf.611dd0228a13ea00b304f75dce5f0f79.jpg,640,640,1,0,0,0.0,0.0,0.8,person_002,1,suspicious
12,IMG_9119_jpg.rf.b942a97d341bc539b78c9db1808d326e.jpg,640,640,1,0,0,0.0,0.0,0.8,person_002,2,suspicious
13,IMG_8625_jpg.rf.ba029192cca79a87b62f19bcc5b72c1d.jpg,640,640,1,0,0,0.0,0.0,0.8,person_002,3,suspicious
14,IMG_8588_jpg.rf.b9bd1690dc2fdb6a6df1fd92924467b8.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_002,4,suspicious
15,IMG_8571_jpg.rf.1f55ca64fdaecc3a1ed7011188dc66bb.jpg,640,640,0,0,0,0.0,0.0,0.8,person_002,5,normal
16,IMG_8741_jpg.rf.ab5ead7d2f0cf334e257ad094a429ad2.jpg,640,640,1,0,0,0.0,0.0,0.8,person_002,6,suspicious
17,IMG_8752_jpg.rf.f8b0e6d939e4e174f179e133d3173d51.jpg,640,640,1,0,0,0.0,0.0,0.8,person_002,7,suspicious
18,IMG_9144_jpg.rf.b4aac5ac5dd2d25039f8410801103e12.jpg,640,640,0,0,0,0.0,0.0,0.8,person_002,8,normal
19,IMG_8601_jpg.rf.51b0a366bd35f13880cade5af85dafe1.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_002,9,suspicious
20,IMG_8717_jpg.rf.e9fae92af6a21ae5b2247ec6940e0e5e.jpg,640,640,0,0,0,0.0,0.0,0.8,person_003,0,normal
21,IMG_8603_jpg.rf.6279fb7e8a137b1a5f7f260d1026c7d0.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_003,1,suspicious
22,IMG_9011_jpg.rf.5634a7558ce72b83bb4650b399734da7.jpg,640,640,0,0,0,0.0,0.0,0.8,person_003,2,normal
23,IMG_8711_jpg.rf.f21e16d7c17a3ea7e3a2394a03b701b3.jpg,640,640,0,1,0,0.0,20.0,0.8,person_003,3,suspicious
24,IMG_9213_jpg.rf.b07cf0d44f97065cff4c567ce0c334d7.jpg,640,640,0,1,0,0.0,20.0,0.8,person_003,4,suspicious
25,IMG_9048_jpg.rf.62e1fb8a89a4dcafd852c33c47dbaedc.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_003,5,suspicious
26,IMG_9066_jpg.rf.e2186f22d5b057d78741ed3f5e70b5d3.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_003,6,suspicious
27,IMG_9033_jpg.rf.e4e943d65ba3d57998a74ecba9730618.jpg,640,640,0,1,0,0.0,20.0,0.8,person_003,7,suspicious
28,IMG_8743_jpg.rf.c93ad39bde3b567c534c139caaa1928c.jpg,640,640,1,0,0,0.0,0.0,0.8,person_003,8,suspicious
29,IMG_9191_jpg.rf.fd868725dccca9522de5bdd05c808edc.jpg,640,640,0,1,0,0.0,20.0,0.8,person_003,9,suspicious
30,IMG_8680_jpg.rf.d8410580e8f028f82b95930545eda238.jpg,640,640,0,1,0,0.0,20.0,0.8,person_004,0,suspicious
31,IMG_8685_jpg.rf.4dba7f6f4e9899182d54ed9c05c5d615.jpg,640,640,1,0,0,0.0,0.0,0.8,person_004,1,suspicious
32,IMG_9057_jpg.rf.50fdecb9d2d6fbdb552ac4ff2a9923c2.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_004,2,suspicious
33,IMG_8750_jpg.rf.4ae62c7bbba28432433b42da34c745cc.jpg,640,640,1,0,0,0.0,0.0,0.8,person_004,3,suspicious
34,IMG_9053_jpg.rf.85f022a10785d22a8500947a1db84ca8.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_004,4,suspicious
35,IMG_8720_jpg.rf.c9391ab868d211e367e79dff9942c2a0.jpg,640,640,0,0,0,0.0,0.0,0.8,person_004,5,normal
36,IMG_8677_jpg.rf.680e45bfee5fc53637c2b4293d29ff5e.jpg,640,640,1,0,0,0.0,0.0,0.8,person_004,6,suspicious
37,IMG_9063_jpg.rf.7b40441316b912a5cca99cc81e17ae65.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_004,7,suspicious
38,IMG_9078_jpg.rf.2c0a77ab22d1452492c5a7dffd70f228.jpg,640,640,1,0,0,0.0,0.0,0.8,person_004,8,suspicious
39,IMG_8686_jpg.rf.5f8e698861397dcbe51b96dc6924aba6.jpg,640,640,1,0,0,0.0,0.0,0.8,person_004,9,suspicious
0,IMG_8638_jpg.rf.00487f64245976f316f31f86acc850bf.jpg,640,640,1,0,0,0.0,0.0,0.8,person_001,0,suspicious
1,IMG_9203_jpg.rf.0024faebe61912532c484077deadfce7.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_001,1,suspicious
2,IMG_9196_jpg.rf.0147a1e7b2346742e5e18359ab399139.jpg,640,640,0,1,0,0.0,20.0,0.8,person_001,2,suspicious
3,IMG_9118_jpg.rf.008335cc2859efddad647dd07a897b1c.jpg,640,640,1,0,0,0.0,0.0,0.8,person_001,3,suspicious
4,IMG_9064_jpg.rf.016a25124834c04ff042bd133eed92a0.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_001,4,suspicious
5,IMG_8710_jpg.rf.01814c56c86705f7bacc2e0e331fc977.jpg,640,640,0,0,0,0.0,0.0,0.8,person_001,5,normal
6,IMG_9219_jpg.rf.0277e1fb1c9b442f531d65792a917283.jpg,640,640,0,0,0,0.0,0.0,0.8,person_001,6,normal
7,IMG_8678_jpg.rf.02b4407d3794c5bc3a9aa113729324c9.jpg,640,640,1,1,0,0.0,20.0,0.8,person_001,7,suspicious_multiple
8,IMG_8691_jpg.rf.03ee66284576184757b3b3e3a0989ed4.jpg,640,640,1,1,0,0.0,-20.0,0.8,person_001,8,suspicious_multiple
9,IMG_8696_jpg.rf.03984d09067fda3b662b09cb7de93f1e.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_001,9,suspicious_multiple
10,IMG_9108_jpg.rf.0251151c720a1b3432ba91a009dfc85f.jpg,640,640,1,0,0,0.0,0.0,0.8,person_002,0,suspicious
11,IMG_8712_jpg.rf.04042d3ca26508f1374ba25ad3db9b6a.jpg,640,640,0,1,0,0.0,20.0,0.8,person_002,1,suspicious
12,IMG_8560_jpg.rf.088d86658f7b2bd695c2965b4f4dd1c3.jpg,640,640,0,0,0,0.0,0.0,0.8,person_002,2,normal
13,IMG_9085_jpg.rf.00da1b11f27481bb0e180ec02638df11.jpg,640,640,1,0,0,0.0,0.0,0.8,person_002,3,suspicious
14,IMG_9040_jpg.rf.0239ee3340f861b2f7e3ae5a1a88abd2.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_002,4,suspicious
15,IMG_9173_jpg.rf.058d66242e98e5c03ccafdea7d4b1486.jpg,640,640,0,0,0,0.0,0.0,0.8,person_002,5,normal
16,IMG_9040_jpg.rf.0aae455e3155d3bbaa2dc8e1754e7930.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_002,6,suspicious
17,IMG_9056_jpg.rf.0be81ae485c81c7388279e297c71a025.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_002,7,suspicious
18,IMG_9171_jpg.rf.01de171ad610b8cea8c9f4dc0a57422d.jpg,640,640,0,0,0,0.0,0.0,0.8,person_002,8,normal
19,IMG_8712_jpg.rf.06cf7f13f369bde130ef3ad26ca5317f.jpg,640,640,0,1,0,0.0,20.0,0.8,person_002,9,suspicious
20,IMG_9065_jpg.rf.0baf6a40e479cef2aa043122060a282c.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_003,0,suspicious
21,IMG_9064_jpg.rf.09b64cfa8e9b83460410a2e9a75dea8f.jpg,640,640,0,1,0,0.0,-20.0,0.8,person_003,1,suspicious
