sequence_id,frame_id,person_id,lean_flag,look_flag,phone_flag,lean_angle,head_turn_angle,confidence,behavior,label,timestamp
0,0,person_000,0,0,0,-2.22,1.59,0.994,normal,normal,0.0
0,1,person_000,0,1,0,0.75,-1.56,0.989,normal,normal,0.033
0,2,person_000,0,0,0,-3.43,2.86,0.984,normal,normal,0.066
0,3,person_000,0,0,0,-3.16,-1.6,0.957,normal,normal,0.099
0,4,person_000,0,0,0,2.64,0.9,0.998,normal,normal,0.132
0,5,person_000,0,1,0,0.07,-1.83,0.981,normal,normal,0.165
0,6,person_000,0,0,0,-1.41,-1.12,0.989,normal,normal,0.198
0,7,person_000,0,0,0,-0.43,-4.76,0.978,normal,normal,0.231
0,8,person_000,0,0,0,0.18,1.66,0.98,normal,normal,0.264
0,9,person_000,0,0,0,-2.16,-4.22,0.982,normal,normal,0.29700000000000004
0,10,person_000,0,0,0,0.17,1.84,0.982,normal,normal,0.33
0,11,person_000,0,0,0,1.11,-4.73,0.978,normal,normal,0.363
0,12,person_000,0,0,0,1.98,-4.56,0.983,normal,normal,0.396
0,13,person_000,0,0,0,1.01,2.04,0.984,normal,normal,0.42900000000000005
0,14,person_000,0,0,0,5.02,-2.61,0.992,normal,normal,0.462
0,15,person_000,0,1,0,1.42,-5.75,0.979,normal,normal,0.495
0,16,person_000,0,0,0,-0.32,-6.96,0.984,normal,normal,0.528
0,17,person_000,0,0,0,0.95,-0.33,0.977,normal,normal,0.561
0,18,person_000,0,0,0,2.21,0.52,0.994,normal,normal,0.5940000000000001
0,19,person_000,0,0,0,1.61,4.61,0.994,normal,normal,0.627
0,20,person_000,0,1,0,-3.23,2.59,0.992,normal,normal,0.66
0,21,person_000,0,0,0,-1.37,1.53,0.96,normal,normal,0.6930000000000001
0,22,person_000,0,0,0,-0.44,-5.4,0.979,normal,normal,0.726
0,23,person_000,1,0,0,-1.52,-3.93,1.0,normal,normal,0.759
0,24,person_000,0,0,0,-1.26,-2.65,0.993,normal,normal,0.792
0,25,person_000,0,0,0,-0.39,-3.51,0.985,normal,normal,0.8250000000000001
0,26,person_000,0,0,0,1.85,3.82,0.982,normal,normal,0.8580000000000001
0,27,person_000,0,0,0,0.66,7.12,0.983,normal,normal,0.891
0,28,person_000,1,0,0,1.11,-2.14,0.989,normal,normal,0.924
0,29,person_000,0,0,0,-0.95,-2.0,0.982,normal,normal,0.9570000000000001
1,0,person_001,0,0,0,1.63,-6.15,0.995,normal,normal,0.0
1,1,person_001,0,0,0,2.32,-0.94,0.984,normal,normal,0.033
1,2,person_001,0,0,0,1.43,0.76,0.995,normal,normal,0.066
1,3,person_001,0,1,0,0.91,1.25,0.986,normal,normal,0.099
1,4,person_001,1,0,0,2.89,2.03,0.976,normal,normal,0.132
1,5,person_001,0,0,0,1.79,4.66,0.984,normal,normal,0.165
1,6,person_001,0,0,0,1.69,8.04,0.995,normal,normal,0.198
1,7,person_001,0,0,0,-0.55,2.14,0.993,normal,normal,0.231
1,8,person_001,0,0,0,-0.15,5.73,0.995,normal,normal,0.264
1,9,person_001,0,0,0,3.76,-2.03,0.99,normal,normal,0.29700000000000004
1,10,person_001,0,0,0,0.82,1.89,0.991,normal,normal,0.33
1,11,person_001,0,0,0,0.14,-2.4,0.97,normal,normal,0.363
1,12,person_001,0,0,0,0.34,-5.08,0.997,normal,normal,0.396
1,13,person_001,0,1,0,0.64,-1.32,0.977,normal,normal,0.42900000000000005
1,14,person_001,0,0,0,1.71,3.29,0.972,normal,normal,0.462
1,15,person_001,0,0,0,-0.8,2.79,0.923,normal,normal,0.495
1,16,person_001,0,0,0,1.1,3.12,0.994,normal,normal,0.528
1,17,person_001,0,1,0,1.39,-0.76,0.998,normal,normal,0.561
1,18,person_001,0,0,0,1.38,-5.87,0.991,normal,normal,0.5940000000000001
1,19,person_001,0,0,0,1.94,-4.26,0.986,normal,normal,0.627
1,20,person_001,0,1,0,0.65,-3.56,0.957,normal,normal,0.66
1,21,person_001,0,0,0,1.08,-8.16,0.996,normal,normal,0.6930000000000001
1,22,person_001,0,0,0,-0.79,-2.85,0.99,normal,normal,0.726
1,23,person_001,0,0,0,0.98,-2.52,0.987,normal,normal,0.759
1,24,person_001,0,0,0,-1.47,2.46,0.958,normal,normal,0.792
1,25,person_001,0,0,0,1.0,5.17,0.986,normal,normal,0.8250000000000001
1,26,person_001,1,0,0,0.92,4.26,0.981,normal,normal,0.8580000000000001
1,27,person_001,0,0,0,0.19,0.39,0.975,normal,normal,0.891
1,28,person_001,0,0,0,-0.56,0.57,0.971,normal,normal,0.924
1,29,person_001,0,0,0,-2.18,-3.26,0.991,normal,normal,0.9570000000000001
2,0,person_002,0,1,0,1.29,0.63,0.962,normal,normal,0.0
2,1,person_002,0,0,0,2.18,2.59,0.999,normal,normal,0.033
2,2,person_002,0,0,0,-0.03,1.5,0.982,normal,normal,0.066
2,3,person_002,1,0,0,-0.66,-1.73,0.993,normal,normal,0.099
2,4,person_002,0,0,0,0.31,1.52,0.987,normal,normal,0.132
2,5,person_002,0,0,0,1.32,-5.8,0.976,normal,normal,0.165
2,6,person_002,0,0,0,2.57,-3.28,0.992,normal,normal,0.198
2,7,person_002,0,0,0,1.14,-2.82,0.981,normal,normal,0.231
2,8,person_002,0,0,0,-0.04,-2.99,0.962,normal,normal,0.264
2,9,person_002,0,0,0,1.48,3.32,0.976,normal,normal,0.29700000000000004
2,10,person_002,0,0,0,-0.53,0.97,0.958,normal,normal,0.33
2,11,person_002,0,0,0,2.32,2.44,0.973,normal,normal,0.363
2,12,person_002,0,1,0,0.09,1.45,0.989,normal,normal,0.396
2,13,person_002,0,1,0,1.25,4.48,0.99,normal,normal,0.42900000000000005
2,14,person_002,0,0,0,-0.55,6.1,0.959,normal,normal,0.462
2,15,person_002,0,0,0,2.03,0.77,1.0,normal,normal,0.495
2,16,person_002,0,1,0,2.39,2.93,0.99,normal,normal,0.528
2,17,person_002,0,0,0,0.84,-0.32,0.991,normal,normal,0.561
2,18,person_002,0,1,0,0.35,3.35,0.991,normal,normal,0.5940000000000001
2,19,person_002,0,0,0,0.18,-0.51,0.963,normal,normal,0.627
2,20,person_002,0,0,0,-0.1,3.26,0.971,normal,normal,0.66
2,21,person_002,0,0,0,1.07,4.59,0.964,normal,normal,0.6930000000000001
2,22,person_002,0,0,0,-2.36,2.65,0.989,normal,normal,0.726
2,23,person_002,0,0,0,0.65,3.39,0.97,normal,normal,0.759
2,24,person_002,0,0,0,0.09,0.03,0.994,normal,normal,0.792
2,25,person_002,0,0,0,-1.51,0.97,0.994,normal,normal,0.8250000000000001
2,26,person_002,0,0,0,-0.61,0.1,0.995,normal,normal,0.8580000000000001
2,27,person_002,0,0,0,0.24,5.34,0.994,normal,normal,0.891
2,28,person_002,0,0,0,-0.37,-3.99,0.973,normal,normal,0.924
2,29,person_002,0,0,0,0.64,-4.09,0.994,normal,normal,0.9570000000000001
3,0,person_003,0,1,0,8.54,25.68,0.959,looking_around,looking_around,0.0
3,1,person_003,0,1,0,9.75,29.72,0.973,looking_around,looking_around,0.033
3,2,person_003,0,1,0,8.65,14.1,0.976,looking_around,looking_around,0.066
3,3,person_003,0,1,0,1.81,32.25,0.999,looking_around,looking_around,0.099
3,4,person_003,0,1,0,0.47,26.79,0.992,looking_around,looking_around,0.132
3,5,person_003,0,1,0,3.57,16.41,0.987,looking_around,looking_around,0.165
3,6,person_003,1,1,0,5.34,15.84,0.99,looking_around,looking_around,0.198
3,7,person_003,0,1,0,2.88,15.35,0.99,looking_around,looking_around,0.231
3,8,person_003,1,1,0,3.25,16.55,0.998,looking_around,looking_around,0.264
3,9,person_003,0,1,0,2.3,36.22,0.999,looking_around,looking_around,0.29700000000000004
3,10,person_003,1,1,0,2.72,29.86,0.998,looking_around,looking_around,0.33
3,11,person_003,0,1,0,3.85,22.74,0.988,looking_around,looking_around,0.363
3,12,person_003,0,1,0,1.47,33.89,0.967,looking_around,looking_around,0.396
3,13,person_003,1,1,0,3.42,31.7,0.994,looking_around,looking_around,0.42900000000000005
3,14,person_003,0,1,0,4.26,20.32,0.968,looking_around,looking_around,0.462
3,15,person_003,0,1,0,5.21,19.07,0.978,looking_around,looking_around,0.495
3,16,person_003,1,1,0,8.61,29.39,1.0,looking_around,looking_around,0.528
3,17,person_003,1,1,0,9.19,36.98,0.989,looking_around,looking_around,0.561
3,18,person_003,0,1,0,4.42,18.91,0.981,looking_around,looking_around,0.5940000000000001
3,19,person_003,0,0,0,8.84,13.38,0.989,looking_around,looking_around,0.627
3,20,person_003,1,1,0,4.79,18.1,0.988,looking_around,looking_around,0.66
3,21,person_003,1,1,0,3.12,23.27,0.983,looking_around,looking_around,0.6930000000000001
3,22,person_003,0,0,0,3.93,18.13,0.988,looking_around,looking_around,0.726
3,23,person_003,1,1,0,6.27,23.63,0.985,looking_around,looking_around,0.759
3,24,person_003,0,1,0,3.99,28.58,0.985,looking_around,looking_around,0.792
3,25,person_003,0,1,0,0.91,27.89,0.982,looking_around,looking_around,0.8250000000000001
3,26,person_003,0,1,0,3.63,17.39,0.987,looking_around,looking_around,0.8580000000000001
3,27,person_003,0,1,0,4.69,29.76,0.988,looking_around,looking_around,0.891
3,28,person_003,0,1,0,6.02,36.52,0.951,looking_around,looking_around,0.924
3,29,person_003,0,0,0,3.63,31.05,0.988,looking_around,looking_around,0.9570000000000001
4,0,person_004,1,1,0,27.01,33.05,0.993,cheating,cheating,0.0
4,1,person_004,1,1,1,20.37,35.48,0.979,cheating,cheating,0.033
4,2,person_004,1,1,0,25.16,28.22,0.959,cheating,cheating,0.066
4,3,person_004,1,1,0,17.31,16.19,1.0,cheating,cheating,0.099
4,4,person_004,1,1,1,20.18,32.33,0.97,cheating,cheating,0.132
4,5,person_004,1,1,1,24.86,38.81,0.998,cheating,cheating,0.165
4,6,person_004,1,1,1,24.95,25.45,0.999,cheating,cheating,0.198
4,7,person_004,1,1,1,19.48,39.45,0.991,cheating,cheating,0.231
4,8,person_004,1,1,0,23.5,44.22,0.992,cheating,cheating,0.264
4,9,person_004,1,1,1,28.93,35.7,0.983,cheating,cheating,0.29700000000000004
4,10,person_004,1,1,0,23.85,22.26,0.951,cheating,cheating,0.33
4,11,person_004,1,1,0,21.7,42.65,0.988,cheating,cheating,0.363
4,12,person_004,0,1,1,28.41,45.1,0.968,cheating,cheating,0.396
4,13,person_004,0,0,1,20.38,55.86,0.99,cheating,cheating,0.42900000000000005
4,14,person_004,1,1,1,15.86,23.86,0.984,cheating,cheating,0.462
4,15,person_004,1,1,0,19.07,15.53,0.995,cheating,cheating,0.495
