image_id,frame_id,person_id,split,original_category,lstm_label,label,lean_flag,look_flag,phone_flag,gesture_flag,lean_angle,head_turn_angle,confidence,center_x,center_y,bbox_area,bbox_width,bbox_height,combined_suspicious,lean_magnitude,head_magnitude,spatial_center_offset,image_width,image_height,image_file,sequence_id,frame_in_sequence,sequence_behavior
0,0,person_0000,valid,Normal,normal,normal,0,0,0,0,3.6705199461348244,-2.2879478329335647,1.0,0.47109375,0.6296875,0.2522802734375,0.6671875,0.378125,0,0.0951124923554992,0.041303408442046,0.1585937499999999,640,640,IMG_8575_jpg.rf.028adde7a676c594851c14b4e03d869c.jpg,0,0,normal
1,1,person_0001,valid,Normal,normal,normal,0,0,0,0,-4.1417630221019,7.009016055563697,1.0,0.528125,0.581640625,0.23356201171875,0.446875,0.52265625,0,0.0405513220874088,0.0674064905751287,0.1097656249999999,640,640,IMG_8661_jpg.rf.0f17669b6de64f00190b2543efa89f0a.jpg,0,1,normal
1,1,person_0001,test,Normal,normal,normal,0,0,0,0,0.02213542360752374,3.536457079418422,0.9978346864123262,0.5453125,0.65,0.49130859375,0.73125,0.671875,0,0.0628585812888467,0.0086730396403636,0.1953125,640,640,IMG_8738_jpg.rf.3f080b9455b14ae04b6305df98bcdf0c.jpg,0,2,normal
3,3,person_0003,test,Normal,normal,normal,0,0,0,0,1.9915065151358973,0.43458948728351243,1.0,0.486328125,0.6328125,0.43714599609375,0.67578125,0.646875,0,0.0405125761739093,0.010947192957744,0.146484375,640,640,IMG_8725_jpg.rf.9dfdfc0f27cdd1d3a2e935657c48feef.jpg,0,3,normal
5,5,person_0005,train,Normal,normal,normal,0,0,0,0,-4.897377349022512,-9.992302615703302,0.9987643389466961,0.304296875,0.5984375,0.20327392578125,0.46796875,0.434375,0,0.0127209313220016,0.0881877169701209,0.2941406249999999,640,640,IMG_8710_jpg.rf.01814c56c86705f7bacc2e0e331fc977.jpg,0,4,normal
5,5,person_0005,train,Normal,normal,normal,0,0,0,0,2.1955886547841272,-1.8345269362074768,0.9231637280562035,0.7453125,0.590234375,0.19091796875,0.425,0.44921875,0,0.0063226726302292,0.0613944081388759,0.335546875,640,640,IMG_8710_jpg.rf.01814c56c86705f7bacc2e0e331fc977.jpg,0,5,normal
5,5,person_0005,valid,Normal,normal,normal,0,0,0,1,-3.573303615142893,-4.526268566308385,0.9694088315518171,0.4890625,0.5515625,0.2646875,0.48125,0.55,1,0.0245203423859947,0.0377699128388529,0.0624999999999999,640,640,IMG_8563_jpg.rf.22d885379cb6f1784d775cb77f8fbf6e.jpg,0,6,normal
6,6,person_0006,valid,Normal,normal,normal,0,0,0,0,-0.5933294691201709,-7.297811738403271,0.9965963983385978,0.78046875,0.621875,0.189345703125,0.4390625,0.43125,0,0.0036760188675063,0.0150536080673899,0.40234375,640,640,IMG_8690_jpg.rf.18c11ed2c4963952600c0689f37fa540.jpg,0,7,normal
6,6,person_0006,train,Normal,normal,normal,0,0,0,0,-0.4101581426803384,5.585162325928138,0.9672726140628278,0.64648828125,0.4425187499999999,0.5317794143554687,0.7054765625,0.7537874999999999,0,0.0112649073302935,0.01812597471912,0.20396953125,640,640,IMG_9219_jpg.rf.0277e1fb1c9b442f531d65792a917283.jpg,0,8,normal
7,7,person_0007,valid,Normal,normal,normal,0,0,0,0,5.959612596604943,-13.56898427123495,0.9790673361282481,0.50625,0.558984375,0.22904052734375,0.453125,0.50546875,0,0.0113287579097449,0.046881642177717,0.0652343749999999,640,640,IMG_8564_jpg.rf.110d0f2f2ca22d6ccaa4f652b7fb10a1.jpg,0,9,normal
5,5,person_0005,train,Normal,normal,normal,0,0,0,1,-3.296069449452971,2.0661173903377357,0.9854300221245442,0.7453125,0.590234375,0.19091796875,0.425,0.44921875,1,0.0063226726302292,0.0613944081388759,0.335546875,640,640,IMG_8710_jpg.rf.01814c56c86705f7bacc2e0e331fc977.jpg,1,0,normal
5,5,person_0005,valid,Normal,normal,normal,0,0,0,0,1.4008337605601413,-0.8670159229579557,0.9859560751067269,0.4890625,0.5515625,0.2646875,0.48125,0.55,0,0.0245203423859947,0.0377699128388529,0.0624999999999999,640,640,IMG_8563_jpg.rf.22d885379cb6f1784d775cb77f8fbf6e.jpg,1,1,normal
6,6,person_0006,valid,Normal,normal,normal,0,0,0,0,-3.3490923754710664,-6.2005783897617315,0.9926129245248742,0.78046875,0.621875,0.189345703125,0.4390625,0.43125,0,0.0036760188675063,0.0150536080673899,0.40234375,640,640,IMG_8690_jpg.rf.18c11ed2c4963952600c0689f37fa540.jpg,1,2,normal
6,6,person_0006,train,Normal,normal,normal,0,1,0,0,-4.228701584385412,-1.510064955285847,0.93696974668017,0.64648828125,0.4425187499999999,0.5317794143554687,0.7054765625,0.7537874999999999,1,0.0112649073302935,0.01812597471912,0.20396953125,640,640,IMG_9219_jpg.rf.0277e1fb1c9b442f531d65792a917283.jpg,1,3,normal
7,7,person_0007,valid,Normal,normal,normal,0,0,0,0,0.5951844511959898,-6.3636647994808735,0.9541491925436032,0.50625,0.558984375,0.22904052734375,0.453125,0.50546875,0,0.0113287579097449,0.046881642177717,0.0652343749999999,640,640,IMG_8564_jpg.rf.110d0f2f2ca22d6ccaa4f652b7fb10a1.jpg,1,4,normal
9,9,person_0009,test,Normal,normal,normal,0,0,0,0,0.026373323637005487,5.063254696121662,0.9257707867150016,0.484765625,0.498046875,0.3816156005859375,0.65390625,0.58359375,0,0.000862558874048,0.0113847339371824,0.0171875,640,640,IMG_8583_jpg.rf.49bf796cc77bdae250a8225baccafe91.jpg,1,5,normal
9,9,person_0009,valid,Normal,normal,normal,0,0,0,0,-7.6308288328666904,3.4433630695684863,1.0,0.50390625,0.6375,0.5389892578125,0.7734375,0.696875,0,0.0192472471675793,0.0055143688101308,0.1414062499999999,640,640,IMG_9157_jpg.rf.317fa9e63d0aa2ec10c5363003d09dff.jpg,1,6,normal
10,10,person_0010,test,Normal,normal,normal,0,0,0,0,6.972630045059478,2.690849233604083,0.8847176529079838,0.75625,0.567578125,0.216708984375,0.4875,0.44453125,0,0.0776409150429552,0.0042670180911513,0.323828125,640,640,IMG_8669_jpg.rf.bb4d88a1db4988f488633a309f36f3fa.jpg,1,7,normal
11,11,person_0011,train,Normal,normal,normal,0,0,0,0,-6.951245900623601,2.6436676023421506,1.0,0.59921875,0.6523992187500001,0.3342711987304688,0.5828125,0.5735484375000001,0,0.0118645228295788,0.0120916422508408,0.2516179687500001,640,640,IMG_8712_jpg.rf.04042d3ca26508f1374ba25ad3db9b6a.jpg,1,8,normal
11,11,person_0011,valid,Normal,normal,normal,0,0,0,0,-2.105701251599051,2.605416952714368,1.0,0.486328125,0.6328125,0.43714599609375,0.67578125,0.646875,0,0.0370641987390921,0.0353286564238386,0.146484375,640,640,IMG_8724_jpg.rf.165e8bf9e5156eb66eebe93e66297231.jpg,1,9,normal
9,9,person_0009,test,Normal,normal,normal,0,0,0,0,3.9440312054837534,9.833001530316315,0.9748909706508689,0.484765625,0.498046875,0.3816156005859375,0.65390625,0.58359375,0,0.000862558874048,0.0113847339371824,0.0171875,640,640,IMG_8583_jpg.rf.49bf796cc77bdae250a8225baccafe91.jpg,2,0,normal
9,9,person_0009,valid,Normal,normal,normal,0,0,0,0,7.4936780226071065,5.621741224376354,0.8598431456086351,0.50390625,0.6375,0.5389892578125,0.7734375,0.696875,0,0.0192472471675793,0.0055143688101308,0.1414062499999999,640,640,IMG_9157_jpg.rf.317fa9e63d0aa2ec10c5363003d09dff.jpg,2,1,normal
10,10,person_0010,test,Normal,normal,normal,0,1,0,0,2.404691585867245,-2.000996963403165,0.9719344719016355,0.75625,0.567578125,0.216708984375,0.4875,0.44453125,1,0.0776409150429552,0.0042670180911513,0.323828125,640,640,IMG_8669_jpg.rf.bb4d88a1db4988f488633a309f36f3fa.jpg,2,2,normal
11,11,person_0011,train,Normal,normal,normal,0,0,0,0,-4.8327507781823105,2.966060777590451,0.9867907919355591,0.59921875,0.6523992187500001,0.3342711987304688,0.5828125,0.5735484375000001,0,0.0118645228295788,0.0120916422508408,0.2516179687500001,640,640,IMG_8712_jpg.rf.04042d3ca26508f1374ba25ad3db9b6a.jpg,2,3,normal
11,11,person_0011,valid,Normal,normal,normal,0,0,0,0,2.2037557340447274,6.797490507695757,0.9394700890035543,0.486328125,0.6328125,0.43714599609375,0.67578125,0.646875,0,0.0370641987390921,0.0353286564238386,0.146484375,640,640,IMG_8724_jpg.rf.165e8bf9e5156eb66eebe93e66297231.jpg,2,4,normal
12,12,person_0012,valid,Normal,normal,normal,0,0,0,0,2.9575500851360617,2.965074045426912,0.9642390803095878,0.45859375,0.54765625,0.28289794921875,0.5859375,0.4828125,0,0.0080462318838949,0.0473764702429476,0.0890624999999999,640,640,IMG_8584_jpg.rf.330458f9863aecab2c8f9c0c97bb5832.jpg,2,5,normal
12,12,person_0012,train,Normal,normal,normal,0,0,0,0,-3.7517471259935578,-2.2133053840418384,1.0,0.50703125,0.57890625,0.24597412109375,0.6078125,0.4046875,0,0.050772672383514,0.005800246253405,0.0859375,640,640,IMG_8560_jpg.rf.088d86658f7b2bd695c2965b4f4dd1c3.jpg,2,6,normal
13,13,person_0013,valid,Normal,normal,normal,0,0,0,0,-1.866246111167959,6.197039825123322,1.0,0.469921875,0.556640625,0.2859930419921875,0.57109375,0.50078125,0,0.0004229719231186,0.0013833307359366,0.08671875,640,640,IMG_8570_jpg.rf.1f54ff19b4cf4e1a95c0e6ce1bdfe2ba.jpg,2,7,normal
15,15,person_0015,test,Normal,normal,normal,0,0,0,0,-2.5517966237067515,0.06647144784089253,0.943771794281095,0.50546875,0.560546875,0.292225341796875,0.6203125,0.47109375,0,0.0088804473939657,0.0015548912552076,0.066015625,640,640,IMG_8571_jpg.rf.1f55ca64fdaecc3a1ed7011188dc66bb.jpg,2,8,normal
15,15,person_0015,valid,Normal,normal,normal,0,0,0,1,2.0088749816056297,1.9524388922730505,0.9101200415202284,0.583203125,0.58828125,0.425150146484375,0.74140625,0.5734375,1,0.0676141019735451,0.0072397715621197,0.171484375,640,640,IMG_8722_jpg.rf.3ae74c2182eb3cabd74f2ac804fe7bc6.jpg,2,9,normal
12,12,person_0012,valid,Normal,mixed_suspicious,normal,0,0,0,0,1.3102848619801675,11.2694026491857,0.9736491341195115,0.45859375,0.54765625,0.28289794921875,0.5859375,0.4828125,0,0.0080462318838949,0.0473764702429476,0.0890624999999999,640,640,IMG_8584_jpg.rf.330458f9863aecab2c8f9c0c97bb5832.jpg,3,0,mixed_suspicious
12,12,person_0012,train,Normal,mixed_suspicious,normal,0,0,0,0,-3.982814005468447,12.144672840682762,0.9793271610324781,0.50703125,0.57890625,0.24597412109375,0.6078125,0.4046875,0,0.050772672383514,0.005800246253405,0.0859375,640,640,IMG_8560_jpg.rf.088d86658f7b2bd695c2965b4f4dd1c3.jpg,3,1,mixed_suspicious
