Timestamp,Frame,Event Type,Confidence,Person ID,Description
2.4,59,Suspicious Hand Activity,0.70,person_000,
4.2,104,Suspicious Hand Activity,0.70,person_000,
4.3,107,Suspicious Hand Activity,0.70,person_000,
4.4,110,Suspicious Hand Activity,0.70,person_000,
4.5,113,Suspicious Hand Activity,0.70,person_000,
4.6,116,Suspicious Hand Activity,0.70,person_000,
4.8,119,Suspicious Hand Activity,0.70,person_000,
4.9,122,Suspicious Hand Activity,0.70,person_000,
5.0,125,Suspicious Hand Activity,0.70,person_000,
5.5,137,Suspicious Hand Activity,0.70,person_000,
5.6,140,Suspicious Hand Activity,0.70,person_000,
8.2,206,Suspicious Hand Activity,0.70,person_000,
8.4,209,Suspicious Hand Activity,0.70,person_000,
8.5,212,Suspicious Hand Activity,0.70,person_000,
9.6,239,Suspicious Hand Activity,0.70,person_000,
9.7,242,Suspicious Hand Activity,0.70,person_000,
9.8,245,Suspicious Hand Activity,0.70,person_000,
9.9,248,Suspicious Hand Activity,0.70,person_000,
10.0,251,Suspicious Hand Activity,0.70,person_000,
10.2,254,Suspicious Hand Activity,0.70,person_000,
