Timestamp,Frame,Event Type,Confidence,Person ID,Description
9.6,270,Abnormal Looking Down,0.75,person_000,
9.9,276,Abnormal Looking Down,0.75,person_000,
37.1,1038,Frequent Head Turning,0.80,person_001,
40.7,1140,Sustained Head Turning,0.80,person_001,
41.1,1152,Frequent Head Turning,0.80,person_000,
42.8,1200,Sustained Head Turning,0.80,person_001,
43.7,1224,Frequent Head Turning,0.80,person_000,
45.0,1260,Sustained Head Turning,0.80,person_001,
45.8,1284,Sustained Head Turning,0.80,person_000,
47.3,1326,Sustained Head Turning,0.80,person_001,
48.0,1344,Sustained Head Turning,0.80,person_000,
49.5,1386,Sustained Head Turning,0.80,person_001,
52.7,1476,Sustained Head Turning,0.80,person_001,
54.8,1536,Sustained Head Turning,0.80,person_001,
71.5,2004,Sustained Head Turning,0.80,person_001,
73.7,2064,Frequent Head Turning,0.80,person_001,
75.8,2124,Frequent Head Turning,0.80,person_001,
76.5,2142,Sustained Head Turning,0.80,person_000,
78.0,2184,Frequent Head Turning,0.80,person_001,
78.6,2202,Sustained Head Turning,0.80,person_000,
80.1,2244,Frequent Head Turning,0.80,person_001,
80.7,2262,Frequent Head Turning,0.80,person_000,
82.2,2304,Frequent Head Turning,0.80,person_001,
82.9,2322,Frequent Head Turning,0.80,person_000,
84.4,2364,Frequent Head Turning,0.80,person_001,
85.5,2394,Frequent Head Turning,0.80,person_000,
90.2,2526,Frequent Head Turning,0.80,person_001,
92.3,2586,Frequent Head Turning,0.80,person_001,
94.4,2646,Frequent Head Turning,0.80,person_001,
96.6,2706,Sustained Head Turning,0.80,person_001,
98.7,2766,Sustained Head Turning,0.80,person_001,
100.9,2826,Frequent Head Turning,0.80,person_001,
103.0,2886,Frequent Head Turning,0.80,person_001,
105.2,2946,Frequent Head Turning,0.80,person_001,
284.8,7980,Frequent Head Turning,0.80,person_003,
287.0,8040,Frequent Head Turning,0.80,person_003,
289.1,8100,Frequent Head Turning,0.80,person_003,
