Timestamp,Frame,Event Type,Confidence,Person ID,Description
4.8,135,Abnormal Looking Down,0.75,person_000,
4.9,138,Abnormal Looking Down,0.75,person_000,
5.0,141,Abnormal Looking Down,0.75,person_000,
5.1,144,Abnormal Looking Down,0.75,person_000,
5.2,147,Abnormal Looking Down,0.75,person_000,
5.4,150,Abnormal Looking Down,0.75,person_000,
5.5,153,Abnormal Looking Down,0.75,person_000,
5.6,156,Abnormal Looking Down,0.75,person_000,
5.7,159,Abnormal Looking Down,0.75,person_000,
5.8,162,Abnormal Looking Down,0.75,person_000,
5.9,165,Abnormal Looking Down,0.75,person_000,
6.0,168,Abnormal Looking Down,0.75,person_000,
6.1,171,Abnormal Looking Down,0.75,person_000,
6.2,174,Abnormal Looking Down,0.75,person_000,
6.3,177,Abnormal Looking Down,0.75,person_000,
18.4,516,Frequent Head Turning,0.80,person_000,
20.5,573,Sustained Head Turning,0.80,person_000,
21.0,588,Frequent Head Turning,0.80,person_002,
26.2,735,Sustained Head Turning,0.80,person_000,
28.3,792,Sustained Head Turning,0.80,person_000,
35.8,1002,Sustained Head Turning,0.80,person_000,
37.8,1059,Frequent Head Turning,0.80,person_000,
38.2,1071,Sustained Head Turning,0.80,person_002,
39.8,1116,Frequent Head Turning,0.80,person_000,
40.3,1128,Frequent Head Turning,0.80,person_002,
41.9,1173,Frequent Head Turning,0.80,person_000,
42.3,1185,Frequent Head Turning,0.80,person_002,
45.1,1263,Frequent Head Turning,0.80,person_002,
47.1,1320,Frequent Head Turning,0.80,person_002,
49.2,1377,Sustained Head Turning,0.80,person_002,
51.2,1434,Frequent Head Turning,0.80,person_002,
55.9,1566,Abnormal Looking Down,0.75,person_000,
56.0,1569,Abnormal Looking Down,0.75,person_000,
56.1,1572,Abnormal Looking Down,0.75,person_000,
125.0,3501,Frequent Head Turning,0.80,person_002,
127.0,3558,Frequent Head Turning,0.80,person_002,
129.0,3615,Frequent Head Turning,0.80,person_002,
141.2,3957,Frequent Head Turning,0.80,person_002,
142.2,3984,Abnormal Looking Down,0.75,person_003,
142.3,3987,Abnormal Looking Down,0.75,person_003,
142.4,3990,Abnormal Looking Down,0.75,person_003,
143.2,4011,Frequent Head Turning,0.80,person_003,
143.3,4014,Frequent Head Turning,0.80,person_002,
